,AdvertiserID,Frequency,AveragePrice
77,86c0f87cb4a577609d511e141a903eba,10,440.5
78,1e686f83cf3c824c8e46d88785cd30ba,10,415.0
79,6171c7abaa5babe504dcea7e636fa32d,10,585.0
80,cde438b665451ccf69e496b01e48892b,10,555.0
81,dd17ce2a91bc8d9c102b350ca49b6cf4,10,550.0
82,fe923faaeaad1dab86c0ad0c00cb4d6b,10,778.5
83,74ad5ab15c754949d1c5f218f921e075,10,515.0
84,cc468536d18d9900e3c8b045aeedbba9,10,542.5
85,e59e04b62fea13e6cacd73ba0f5e0d5a,10,455.0
86,f203023bfe65f2d29360e401f52dfe4d,10,550.0
87,b3f08f17bf3303200a7bbd96612c5072,9,427.77777777777777
88,c2af34c473bd3f7d42674d5cc777bf85,9,475.0
89,f9c08bef8e52ba4f984983c644023be7,9,727.2222222222222
90,b05b25910b2d3b868a8fcfdd541e9e6d,9,394.44444444444446
91,e229b895b85850889da593f696606da4,9,506.1111111111111
92,3469f647707d7517364600b07bd45816,9,455.55555555555554
93,c74475e842b29b30a9ceae2405571e00,9,366.6666666666667
94,74ad43bd021434f1a1cf104633b0f98e,9,555.5555555555555
95,7fbacda1cf8a509a68b18fa9d06fcb84,9,400.0
96,32f40d79833a50398c3a5e5615744764,9,600.0
97,3033ce3b96acfc1a7978a782c954e969,9,464.44444444444446
98,f9fa5488822ed092641bcce86bbac455,9,550.0
99,fa27e7bcd1a60318c828a52f308788e4,9,344.44444444444446
100,f3b5a0aa61dec0a20950c650c4f20462,9,447.22222222222223
101,817956328a0c6afa2639e321557210cc,9,597.2222222222222
102,69386f6bb1dfed68692a24c8686939b9,9,661.1111111111111
103,21cf1e2c7605ae77ececeed18a7e2c96,9,662.5
104,d26dd25caa366c3e2d10de8d6cd91785,9,650.0
105,2f5a2a985c4103553b282dd4d0b3a6f3,9,611.1111111111111
106,7483ad34622f65a9aa7939f9b9cd2bbb,9,766.6666666666666
107,0392bc78c6f15f8398907f5cacb66be8,9,738.8888888888889
108,7f944428a404af6c36ed51f9197205e0,9,536.1111111111111
109,3ecb946d08528cb58f099f1dd7a61e1c,8,555.625
110,6ceab98716fa4c42f9a213856674416c,8,1075.0
111,a59d53cbda7d8d477640f750e6c0793d,8,712.5
112,53bb357df1755c1b526583490ac60164,8,481.25
113,471b387ed4c80ba56b4bb01a3e24bdb4,8,481.25
114,86ac844bb34dcd536a26bc5ce95d5c74,8,587.5
115,89149c5250e34e518f46f8a7ea5062ba,8,468.75
116,839264ce04244a449341993ac9d140fd,8,606.25
